,softwareUnderstanding,understandingConcepts,practiceSM,testSM,tipo_estudante
0,0.0,0.0,2.064,0.432,2
1,0.0,0.0,0.48,0.096,2
2,0.0,0.0,1.824,2.112,2
3,0.0,0.0,2.352,2.352,2
4,0.0,0.0,0.336,1.248,2
5,0.0,0.0,1.536,1.056,2
6,1.344,0.672,2.976,1.536,1
7,1.968,0.984,3.096,2.424,1
8,1.6320000000000001,0.8160000000000001,1.2,1.824,2
9,0.672,0.336,0.864,1.968,2
10,0.192,0.096,1.68,1.008,2
11,0.672,0.336,0.672,0.5760000000000001,2
12,0.0,0.0,0.048,0.336,2
13,2.064,1.032,2.088,1.32,2
14,0.0,0.0,1.776,2.208,2
15,0.0,0.0,0.864,0.24,2
16,1.92,0.96,2.064,3.12,3
17,0.0,0.0,0.192,1.3920000000000001,2
18,1.968,0.984,1.1280000000000001,1.608,2
19,1.2,0.6,1.32,2.136,2
20,0.0,0.0,1.584,0.912,2
21,1.008,0.504,1.944,2.088,2
22,1.536,0.768,1.6320000000000001,1.6320000000000001,2
23,1.536,0.768,1.6320000000000001,2.88,3
24,1.872,0.936,1.32,1.032,2
25,1.68,0.84,1.1280000000000001,1.272,2
26,0.672,0.336,2.592,1.104,2
27,0.672,0.336,2.496,1.488,2
28,0.864,0.432,1.008,0.8160000000000001,2
29,1.68,0.84,2.472,2.04,1
30,0.864,0.432,0.5760000000000001,1.68,2
31,0.0,0.0,2.4,1.824,2
32,0.0,0.0,1.488,2.3040000000000003,2
33,1.872,0.936,2.136,2.472,3
34,1.008,0.552,1.608,1.944,2
35,1.968,1.032,1.992,1.512,2
36,2.208,1.176,1.248,1.248,2
37,2.544,1.368,2.568,1.8,1
38,0.96,0.5760000000000001,1.536,1.536,2
39,0.0,0.12,2.3040000000000003,1.296,2
40,2.016,1.1520000000000001,3.216,2.3040000000000003,1
41,1.44,0.888,1.056,1.728,2
42,1.536,0.96,2.832,2.16,1
43,2.496,1.44,1.296,2.64,3
44,1.68,1.032,1.56,2.712,3
45,0.96,0.672,1.968,1.872,2
46,2.448,1.416,1.272,2.616,3
47,0.336,0.36,2.376,1.608,2
48,1.056,0.72,1.3920000000000001,1.104,2
49,1.872,1.1280000000000001,1.512,1.608,2
50,1.008,0.6960000000000001,2.04,2.376,2
51,2.688,1.536,2.64,2.496,1
52,1.008,0.6960000000000001,0.936,1.176,2
53,1.008,0.6960000000000001,0.648,1.992,2
54,1.008,0.6960000000000001,1.176,2.568,2
55,1.008,0.6960000000000001,2.7600000000000002,2.52,1
56,1.008,0.6960000000000001,0.984,2.376,2
57,1.872,1.1280000000000001,3.144,3.048,1
58,0.864,0.624,1.248,1.056,2
59,1.584,0.984,0.792,1.272,2
60,0.672,0.528,2.208,0.5760000000000001,2
61,0.672,0.528,2.496,2.112,2
62,2.832,1.608,2.616,2.8080000000000003,0
63,0.672,0.528,1.248,1.6320000000000001,2
64,0.672,0.528,1.824,0.72,2
65,1.344,0.864,1.1520000000000001,0.72,2
