,softwareUnderstanding,understandingConcepts,practiceSM,testSM,tipo_estudante
0,0.0,0.0,0.129,0.027,2
1,0.0,0.0,0.03,0.006,2
2,0.0,0.0,0.114,0.132,2
3,0.0,0.0,0.147,0.147,2
4,0.0,0.0,0.021,0.078,2
5,0.0,0.0,0.096,0.066,2
6,0.084,0.042,0.186,0.096,1
7,0.123,0.0615,0.1935,0.1515,1
8,0.10200000000000001,0.051000000000000004,0.075,0.114,2
9,0.042,0.021,0.054,0.123,2
10,0.012,0.006,0.105,0.063,2
11,0.042,0.021,0.042,0.036000000000000004,2
12,0.0,0.0,0.003,0.021,2
13,0.129,0.0645,0.1305,0.0825,2
14,0.0,0.0,0.111,0.138,2
15,0.0,0.0,0.054,0.015,2
16,0.12,0.06,0.129,0.195,3
17,0.0,0.0,0.012,0.08700000000000001,2
18,0.123,0.0615,0.07050000000000001,0.1005,2
19,0.075,0.0375,0.0825,0.1335,2
20,0.0,0.0,0.099,0.057,2
21,0.063,0.0315,0.1215,0.1305,2
22,0.096,0.048,0.10200000000000001,0.10200000000000001,2
23,0.096,0.048,0.10200000000000001,0.18,3
24,0.117,0.0585,0.0825,0.0645,2
25,0.105,0.0525,0.07050000000000001,0.0795,2
26,0.042,0.021,0.162,0.069,2
27,0.042,0.021,0.156,0.093,2
28,0.054,0.027,0.063,0.051000000000000004,2
29,0.105,0.0525,0.1545,0.1275,1
30,0.054,0.027,0.036000000000000004,0.105,2
31,0.0,0.0,0.15,0.114,2
32,0.0,0.0,0.093,0.14400000000000002,2
33,0.117,0.0585,0.1335,0.1545,3
34,0.063,0.0345,0.1005,0.1215,2
35,0.123,0.0645,0.1245,0.0945,2
36,0.138,0.0735,0.078,0.078,2
37,0.159,0.0855,0.1605,0.1125,1
38,0.06,0.036000000000000004,0.096,0.096,2
39,0.0,0.0075,0.14400000000000002,0.081,2
40,0.126,0.07200000000000001,0.201,0.14400000000000002,1
41,0.09,0.0555,0.066,0.108,2
42,0.096,0.06,0.177,0.135,1
43,0.156,0.09,0.081,0.165,3
44,0.105,0.0645,0.0975,0.1695,3
45,0.06,0.042,0.123,0.117,2
46,0.153,0.0885,0.0795,0.1635,3
47,0.021,0.0225,0.1485,0.1005,2
48,0.066,0.045,0.08700000000000001,0.069,2
49,0.117,0.07050000000000001,0.0945,0.1005,2
50,0.063,0.043500000000000004,0.1275,0.1485,2
51,0.168,0.096,0.165,0.156,1
52,0.063,0.043500000000000004,0.0585,0.0735,2
53,0.063,0.043500000000000004,0.0405,0.1245,2
54,0.063,0.043500000000000004,0.0735,0.1605,2
55,0.063,0.043500000000000004,0.17250000000000001,0.1575,1
56,0.063,0.043500000000000004,0.0615,0.1485,2
57,0.117,0.07050000000000001,0.1965,0.1905,1
58,0.054,0.039,0.078,0.066,2
59,0.099,0.0615,0.0495,0.0795,2
60,0.042,0.033,0.138,0.036000000000000004,2
61,0.042,0.033,0.156,0.132,2
62,0.177,0.1005,0.1635,0.17550000000000002,0
63,0.042,0.033,0.078,0.10200000000000001,2
64,0.042,0.033,0.114,0.045,2
65,0.084,0.054,0.07200000000000001,0.045,2
66,0.084,0.054,0.081,0.126,2
67,0.129,0.0765,0.0795,0.1365,3
68,0.084,0.054,0.06,0.063,2
69,0.084,0.054,0.105,0.186,3
70,0.054,0.039,0.17400000000000002,0.027,2
71,0.147,0.0855,0.1635,0.1815,3
72,0.084,0.054,0.126,0.168,3
73,0.084,0.054,0.117,0.054,2
74,0.084,0.054,0.14400000000000002,0.192,3
75,0.084,0.054,0.177,0.12,1
76,0.099,0.0615,0.0525,0.1935,3
77,0.162,0.093,0.20700000000000002,0.108,1
78,0.183,0.10350000000000001,0.1815,0.1905,0
79,0.096,0.06,0.08700000000000001,0.159,2
80,0.138,0.081,0.14400000000000002,0.09,1
81,0.033,0.0285,0.0915,0.0825,2
82,0.021,0.0225,0.1155,0.0165,2
83,0.054,0.039,0.066,0.09,2
84,0.171,0.0975,0.1815,0.1935,0
85,0.054,0.039,0.084,0.135,2
86,0.033,0.0285,0.07050000000000001,0.0525,2
87,0.123,0.0735,0.2025,0.1455,1
88,0.033,0.0285,0.0795,0.0915,2
89,0.15,0.08700000000000001,0.10200000000000001,0.129,3
90,0.105,0.0645,0.1005,0.0615,2
91,0.033,0.0285,0.0585,0.0675,2
92,0.14400000000000002,0.084,0.192,0.198,0
93,0.075,0.0495,0.17250000000000001,0.1695,1
94,0.096,0.06,0.048,0.129,2
95,0.075,0.0495,0.0585,0.1095,2
96,0.075,0.0495,0.1305,0.1395,2
97,0.075,0.0495,0.0405,0.0855,2
98,0.033,0.0285,0.1485,0.0555,2
99,0.075,0.0495,0.1605,0.1005,2
100,0.159,0.0915,0.1665,0.1395,1
101,0.084,0.0555,0.15,0.15,1
102,0.147,0.08700000000000001,0.0915,0.0765,2
103,0.054,0.0405,0.099,0.14100000000000001,2
104,0.054,0.0405,0.117,0.14100000000000001,2
105,0.042,0.0345,0.093,0.108,2
106,0.042,0.0345,0.08700000000000001,0.069,2
107,0.042,0.0345,0.033,0.024,2
108,0.105,0.0675,0.0615,0.0645,2
109,0.129,0.0795,0.1455,0.07050000000000001,1
110,0.08700000000000001,0.06,0.1695,0.0615,1
111,0.075,0.054,0.11850000000000001,0.1125,2
112,0.06,0.0465,0.042,0.17400000000000002,2
113,0.042,0.039,0.024,0.147,2
114,0.054,0.045,0.066,0.084,2
115,0.042,0.039,0.138,0.123,2
116,0.033,0.0345,0.0525,0.0375,2
117,0.08700000000000001,0.0615,0.1395,0.0765,2
118,0.042,0.039,0.08700000000000001,0.033,2
119,0.084,0.0615,0.042,0.17400000000000002,2
120,0.078,0.0585,0.042,0.066,2
121,0.042,0.0405,0.033,0.135,2
122,0.036000000000000004,0.0375,0.12,0.045,2
123,0.054,0.0465,0.096,0.14100000000000001,2
124,0.042,0.042,0.07200000000000001,0.123,2
125,0.063,0.0525,0.0345,0.043500000000000004,2
126,0.111,0.0765,0.1515,0.1245,1
127,0.108,0.075,0.063,0.117,2
128,0.012,0.027,0.135,0.069,2
129,0.132,0.08700000000000001,0.201,0.195,1
130,0.135,0.0885,0.1905,0.1095,1
131,0.021,0.0315,0.1455,0.1155,2
132,0.07200000000000001,0.057,0.17400000000000002,0.17400000000000002,1
133,0.042,0.042,0.09,0.08700000000000001,2
134,0.117,0.081,0.0765,0.2085,3
135,0.084,0.0645,0.078,0.165,2
136,0.08700000000000001,0.066,0.1305,0.0645,2
137,0.08700000000000001,0.066,0.1905,0.1065,1
138,0.105,0.075,0.0675,0.1005,2
139,0.105,0.075,0.1155,0.1065,2
140,0.105,0.075,0.1125,0.0735,2
141,0.105,0.075,0.1905,0.0615,1
142,0.10200000000000001,0.0735,0.051000000000000004,0.093,2
143,0.105,0.075,0.1095,0.1365,2
144,0.105,0.075,0.1245,0.0915,2
145,0.105,0.075,0.1485,0.1785,3
146,0.105,0.075,0.0975,0.0855,2
147,0.105,0.075,0.1935,0.0615,1
148,0.135,0.09,0.1605,0.1515,1
149,0.042,0.043500000000000004,0.105,0.099,2
150,0.135,0.09,0.1965,0.17550000000000002,1
151,0.153,0.099,0.2085,0.2145,0
152,0.042,0.043500000000000004,0.117,0.051000000000000004,2
153,0.042,0.043500000000000004,0.108,0.036000000000000004,2
154,0.135,0.09,0.2025,0.1605,1
155,0.132,0.0885,0.093,0.20700000000000002,3
156,0.186,0.1155,0.222,0.099,1
157,0.051000000000000004,0.048,0.17250000000000001,0.1485,1
158,0.042,0.043500000000000004,0.111,0.027,2
159,0.138,0.0915,0.138,0.138,1
160,0.138,0.0915,0.07200000000000001,0.084,2
161,0.054,0.0495,0.126,0.048,2
162,0.054,0.0495,0.168,0.123,2
163,0.054,0.0495,0.138,0.08700000000000001,2
164,0.054,0.0495,0.099,0.14100000000000001,2
165,0.054,0.0495,0.171,0.033,2
166,0.165,0.105,0.1605,0.2295,0
167,0.111,0.078,0.0855,0.1275,2
168,0.06,0.0525,0.07200000000000001,0.033,2
169,0.099,0.07200000000000001,0.1605,0.1155,1
170,0.14400000000000002,0.0945,0.216,0.105,1
171,0.17400000000000002,0.1095,0.12,0.201,3
172,0.042,0.043500000000000004,0.045,0.099,2
173,0.138,0.0915,0.162,0.093,1
174,0.063,0.054,0.1125,0.0615,2
175,0.063,0.054,0.0915,0.0915,2
176,0.063,0.054,0.1605,0.1485,1
177,0.063,0.054,0.1785,0.1215,1
178,0.063,0.054,0.1095,0.1215,2
179,0.063,0.054,0.1605,0.1095,2
180,0.063,0.054,0.0645,0.0525,2
181,0.063,0.054,0.0405,0.1335,2
182,0.063,0.054,0.1785,0.1155,1
183,0.183,0.114,0.1815,0.1665,0
184,0.042,0.043500000000000004,0.066,0.111,2
185,0.066,0.0555,0.108,0.129,2
186,0.096,0.07050000000000001,0.123,0.156,3
187,0.126,0.0855,0.168,0.111,1
188,0.126,0.0855,0.126,0.096,2
189,0.156,0.1005,0.084,0.135,3
190,0.096,0.07050000000000001,0.054,0.105,2
191,0.096,0.07050000000000001,0.075,0.198,3
192,0.096,0.07050000000000001,0.075,0.105,2
193,0.096,0.07050000000000001,0.099,0.114,2
194,0.129,0.08700000000000001,0.1935,0.14250000000000002,1
195,0.096,0.07050000000000001,0.165,0.192,3
196,0.096,0.07050000000000001,0.066,0.153,2
197,0.096,0.07050000000000001,0.14400000000000002,0.135,1
198,0.096,0.07050000000000001,0.117,0.111,2
199,0.153,0.099,0.1335,0.10350000000000001,1
200,0.192,0.11850000000000001,0.168,0.183,0
201,0.165,0.105,0.0855,0.1935,3
202,0.17400000000000002,0.1095,0.183,0.20700000000000002,0
203,0.075,0.06,0.17550000000000002,0.1545,1
204,0.075,0.06,0.0615,0.1125,2
205,0.075,0.06,0.10350000000000001,0.043500000000000004,2
206,0.075,0.06,0.1515,0.0555,2
207,0.075,0.06,0.0675,0.1305,2
208,0.075,0.06,0.1305,0.1605,2
209,0.132,0.0885,0.111,0.126,3
210,0.075,0.06,0.0675,0.1245,2
211,0.075,0.06,0.1875,0.0615,1
212,0.075,0.06,0.0825,0.0675,2
213,0.075,0.06,0.0735,0.0915,2
214,0.075,0.06,0.17550000000000002,0.1815,1
215,0.075,0.06,0.0645,0.1875,3
216,0.075,0.06,0.0645,0.1305,2
217,0.075,0.06,0.1845,0.0405,1
218,0.132,0.0885,0.168,0.14400000000000002,1
219,0.159,0.10200000000000001,0.1095,0.14250000000000002,3
220,0.093,0.069,0.1335,0.1215,2
221,0.078,0.0615,0.14400000000000002,0.081,2
222,0.171,0.108,0.1215,0.1785,3
223,0.078,0.0615,0.168,0.126,1
224,0.159,0.10200000000000001,0.1335,0.1515,3
225,0.117,0.081,0.1125,0.20550000000000002,3
226,0.117,0.081,0.11850000000000001,0.17550000000000002,3
227,0.117,0.081,0.1695,0.1065,1
228,0.117,0.081,0.1635,0.0675,1
229,0.117,0.081,0.07050000000000001,0.1515,3
230,0.117,0.081,0.0975,0.1395,3
231,0.117,0.081,0.0885,0.07050000000000001,2
232,0.123,0.084,0.1695,0.0645,1
233,0.105,0.075,0.07050000000000001,0.0735,2
234,0.123,0.084,0.1095,0.0945,2
235,0.081,0.063,0.10350000000000001,0.1395,2
236,0.15,0.0975,0.105,0.20400000000000001,3
237,0.033,0.039,0.1095,0.1515,2
238,0.042,0.043500000000000004,0.063,0.168,2
239,0.14100000000000001,0.093,0.1935,0.1935,0
240,0.12,0.0825,0.09,0.186,3
241,0.033,0.039,0.0975,0.1065,2
242,0.084,0.0645,0.12,0.186,3
243,0.084,0.0645,0.099,0.165,3
244,0.033,0.039,0.0825,0.1125,2
245,0.084,0.0645,0.12,0.15,2
246,0.12,0.0825,0.096,0.20400000000000001,3
247,0.12,0.0825,0.099,0.171,3
248,0.084,0.0645,0.12,0.111,2
249,0.084,0.0645,0.186,0.138,1
250,0.084,0.0645,0.159,0.108,1
251,0.063,0.0555,0.1155,0.043500000000000004,2
252,0.042,0.045,0.105,0.15,2
253,0.057,0.0525,0.0525,0.0525,2
254,0.147,0.0975,0.0975,0.1815,3
255,0.105,0.0765,0.17250000000000001,0.1065,1
256,0.054,0.051000000000000004,0.08700000000000001,0.06,2
257,0.10200000000000001,0.075,0.177,0.14400000000000002,1
258,0.075,0.0615,0.1785,0.0525,1
259,0.084,0.0675,0.123,0.048,2
260,0.033,0.042,0.1005,0.1635,2
261,0.033,0.042,0.1065,0.1575,2
262,0.117,0.0855,0.2025,0.1095,1
263,0.054,0.054,0.078,0.09,2
264,0.096,0.075,0.078,0.159,3
265,0.093,0.0735,0.1065,0.11850000000000001,2
266,0.084,0.069,0.147,0.17400000000000002,3
267,0.054,0.054,0.126,0.129,2
268,0.042,0.048,0.033,0.117,2
269,0.162,0.108,0.201,0.15,1
270,0.057,0.0555,0.1005,0.1785,2
271,0.042,0.048,0.081,0.10200000000000001,2
272,0.063,0.06,0.0675,0.1605,2
273,0.033,0.045,0.1005,0.1065,2
274,0.117,0.08700000000000001,0.0825,0.1515,3
275,0.075,0.066,0.0375,0.1605,2
276,0.129,0.093,0.1695,0.0675,1
277,0.066,0.0615,0.156,0.069,2
278,0.126,0.0915,0.08700000000000001,0.162,3
279,0.153,0.105,0.20550000000000002,0.2175,0
280,0.105,0.081,0.1065,0.1515,3
281,0.096,0.0765,0.162,0.129,1
282,0.096,0.0765,0.048,0.054,2
283,0.075,0.066,0.17550000000000002,0.10350000000000001,1
284,0.042,0.0495,0.027,0.024,2
285,0.042,0.0495,0.024,0.063,2
286,0.138,0.0975,0.20400000000000001,0.099,1
287,0.063,0.06,0.0555,0.1245,2
288,0.08700000000000001,0.07200000000000001,0.17250000000000001,0.1335,1
289,0.063,0.06,0.14250000000000002,0.0315,2
290,0.081,0.069,0.0645,0.10350000000000001,2
291,0.054,0.0555,0.126,0.036000000000000004,2
