,softwareUnderstanding,understandingConcepts,practiceSM,testSM,tipo_estudante
1850,0.15,0.195,0.339,0.279,1
1851,0.126,0.183,0.20700000000000002,0.135,2
1852,0.17400000000000002,0.20700000000000002,0.189,0.213,2
1853,0.108,0.17400000000000002,0.168,0.198,2
1854,0.12,0.18,0.162,0.14400000000000002,2
1855,0.096,0.168,0.186,0.114,2
1856,0.192,0.216,0.222,0.24,2
1857,0.168,0.20400000000000001,0.312,0.294,1
1858,0.162,0.201,0.339,0.195,1
1859,0.27,0.255,0.135,0.435,3
1860,0.15,0.195,0.117,0.339,3
1861,0.216,0.228,0.27,0.12,1
1862,0.15,0.195,0.339,0.14100000000000001,1
1863,0.21,0.225,0.321,0.357,3
1864,0.108,0.17400000000000002,0.084,0.252,2
1865,0.108,0.17400000000000002,0.354,0.20400000000000001,1
1866,0.192,0.216,0.14400000000000002,0.246,2
1867,0.126,0.183,0.243,0.249,2
1868,0.126,0.183,0.291,0.099,2
1869,0.15,0.195,0.291,0.153,2
1870,0.192,0.216,0.168,0.138,2
1871,0.138,0.189,0.201,0.171,2
1872,0.126,0.183,0.201,0.159,2
1873,0.24,0.24,0.17400000000000002,0.138,2
1874,0.12,0.18,0.28200000000000003,0.216,2
1875,0.234,0.23700000000000002,0.171,0.327,3
1876,0.156,0.198,0.222,0.21,2
1877,0.318,0.279,0.279,0.339,3
1878,0.28800000000000003,0.264,0.17400000000000002,0.15,2
1879,0.066,0.153,0.147,0.201,2
1880,0.198,0.219,0.261,0.399,3
1881,0.15,0.195,0.14100000000000001,0.14100000000000001,2
1882,0.14400000000000002,0.192,0.33,0.09,1
1883,0.21,0.225,0.309,0.243,1
1884,0.258,0.249,0.135,0.195,2
1885,0.33,0.28500000000000003,0.213,0.279,3
1886,0.264,0.252,0.27,0.384,3
1887,0.234,0.23700000000000002,0.303,0.153,1
1888,0.20400000000000001,0.222,0.39,0.3,1
1889,0.21,0.225,0.34500000000000003,0.14100000000000001,1
1890,0.048,0.14400000000000002,0.228,0.228,2
1891,0.126,0.183,0.111,0.093,2
1892,0.324,0.28200000000000003,0.294,0.228,1
1893,0.192,0.216,0.222,0.14400000000000002,2
1894,0.108,0.17400000000000002,0.198,0.228,2
1895,0.14400000000000002,0.192,0.14400000000000002,0.156,2
1896,0.168,0.20400000000000001,0.096,0.24,2
1897,0.15,0.195,0.261,0.153,2
1898,0.126,0.183,0.135,0.105,2
1899,0.15,0.195,0.213,0.117,2
1900,0.066,0.153,0.303,0.069,2
1901,0.222,0.231,0.117,0.20700000000000002,2
1902,0.108,0.17400000000000002,0.34800000000000003,0.24,1
1903,0.354,0.297,0.219,0.315,3
1904,0.234,0.23700000000000002,0.279,0.309,3
1905,0.24,0.24,0.402,0.14400000000000002,1
1906,0.126,0.183,0.153,0.159,2
1907,0.18,0.21,0.264,0.324,3
1908,0.276,0.258,0.18,0.186,2
1909,0.258,0.249,0.34500000000000003,0.273,1
1910,0.258,0.249,0.321,0.177,1
1911,0.21,0.225,0.249,0.171,2
1912,0.246,0.243,0.171,0.423,3
1913,0.294,0.267,0.303,0.417,3
1914,0.21,0.225,0.34500000000000003,0.399,3
1915,0.228,0.234,0.41400000000000003,0.138,1
1916,0.246,0.243,0.381,0.20700000000000002,1
1917,0.126,0.183,0.189,0.177,2
1918,0.114,0.177,0.177,0.327,2
1919,0.306,0.276,0.171,0.423,3
1920,0.28200000000000003,0.264,0.369,0.153,1
1921,0.084,0.165,0.12,0.324,2
1922,0.198,0.222,0.165,0.333,3
1923,0.114,0.18,0.08700000000000001,0.14100000000000001,2
1924,0.246,0.246,0.369,0.129,1
1925,0.084,0.165,0.156,0.28800000000000003,2
1926,0.108,0.177,0.054,0.21,2
1927,0.192,0.219,0.114,0.324,3
1928,0.15,0.198,0.315,0.375,3
1929,0.084,0.165,0.06,0.258,2
1930,0.15,0.198,0.357,0.183,1
1931,0.12,0.183,0.246,0.10200000000000001,2
1932,0.17400000000000002,0.21,0.381,0.333,1
1933,0.246,0.246,0.357,0.28500000000000003,1
1934,0.36,0.303,0.3,0.234,1
1935,0.21,0.228,0.28500000000000003,0.201,1
