,softwareUnderstanding,understandingConcepts,practiceSM,testSM,tipo_estudante
7260,37,55.0,32.5,29.5,2
7261,54,63.5,31.0,40.0,3
7262,64,68.5,58.0,48.0,0
7263,22,47.5,25.0,28.0,2
7264,69,71.0,45.5,35.5,0
7265,46,59.5,58.0,43.0,1
7266,29,51.0,58.5,24.5,1
7267,43,58.0,38.5,40.5,3
7268,50,61.5,63.0,74.0,0
7269,45,59.0,43.5,57.5,3
7270,43,58.0,66.5,56.5,0
7271,64,68.5,80.0,48.0,0
7272,57,65.0,33.5,42.5,3
7273,54,63.5,77.0,76.0,0
7274,45,59.0,54.5,51.5,0
7275,28,50.5,54.0,36.0,1
7276,57,65.0,47.5,71.5,0
7277,45,59.0,26.5,54.5,3
7278,35,54.0,42.5,59.5,3
7279,55,64.0,71.5,69.5,0
7280,32,52.5,51.0,50.0,1
7281,55,64.0,74.5,69.5,0
7282,35,54.0,66.5,36.5,1
7283,49,61.0,59.5,54.5,0
7284,26,49.5,40.0,53.0,3
7285,9,41.0,22.5,27.5,2
7286,46,60.0,33.0,40.0,3
7287,21,47.5,60.5,42.5,1
7288,52,63.0,65.0,63.0,0
7289,32,53.0,59.0,16.0,1
7290,47,60.5,64.5,59.5,0
7291,35,54.5,36.5,55.5,3
7292,67,70.5,66.5,71.5,0
7293,82,78.0,82.0,82.0,0
7294,52,63.0,36.0,37.0,3
7295,57,65.5,35.5,31.5,3
7296,32,53.0,22.0,19.0,2
7297,22,48.0,16.0,38.0,2
7298,33,53.5,42.5,53.5,3
7299,69,71.5,75.5,72.5,0
7300,69,71.5,75.5,81.5,0
7301,55,64.5,52.5,49.5,0
7302,50,62.0,33.0,58.0,3
7303,34,54.0,67.0,51.0,1
7304,48,61.0,65.0,34.0,1
7305,73,73.5,73.5,40.5,0
7306,67,70.5,76.5,51.5,0
7307,39,56.5,45.5,42.5,1
7308,82,78.0,80.0,86.0,0
7309,36,55.0,42.0,58.0,3
7310,49,61.5,49.5,49.5,0
7311,35,54.5,42.5,42.5,3
7312,28,51.0,42.0,17.0,2
7313,38,56.0,38.0,47.0,3
7314,30,52.0,54.0,58.0,3
7315,60,67.0,33.0,71.0,0
7316,50,62.0,66.0,26.0,1
7317,60,67.0,70.0,50.0,0
7318,76,75.0,73.0,71.0,0
7319,49,61.5,56.5,66.5,0
7320,28,51.0,64.0,15.0,1
7321,63,68.5,79.5,39.5,0
7322,28,51.0,47.0,30.0,1
7323,38,56.0,55.0,32.0,1
7324,36,55.0,68.0,46.0,1
7325,64,69.0,43.0,71.0,0
7326,48,61.0,29.0,40.0,3
7327,52,63.0,29.0,53.0,3
7328,77,75.5,78.5,49.5,0
7329,25,49.5,49.5,27.5,1
7330,52,63.0,63.0,27.0,1
7331,43,58.5,55.5,53.5,0
7332,49,61.5,64.5,66.5,0
7333,28,51.0,22.0,39.0,2
7334,78,76.0,80.0,88.0,0
7335,35,54.5,17.5,36.5,2
7336,30,52.0,26.0,39.0,3
7337,78,76.0,62.0,49.0,0
7338,34,54.0,24.0,45.0,3
7339,55,64.5,61.5,58.5,0
7340,42,58.0,39.0,40.0,3
7341,38,56.0,58.0,56.0,0
7342,28,51.0,64.0,25.0,1
7343,48,61.0,35.0,34.0,3
7344,25,49.5,46.5,20.5,1
7345,25,49.5,43.5,56.5,3
