,softwareUnderstanding,understandingConcepts,practiceSM,testSM,tipo_estudante
0,0.0,0.0,1.032,0.216,2
1,0.0,0.0,0.24,0.048,2
2,0.0,0.0,0.912,1.056,2
3,0.0,0.0,1.176,1.176,2
4,0.0,0.0,0.168,0.624,2
5,0.0,0.0,0.768,0.528,2
6,0.672,0.336,1.488,0.768,1
7,0.984,0.492,1.548,1.212,1
8,0.8160000000000001,0.40800000000000003,0.6,0.912,2
9,0.336,0.168,0.432,0.984,2
10,0.096,0.048,0.84,0.504,2
11,0.336,0.168,0.336,0.28800000000000003,2
12,0.0,0.0,0.024,0.168,2
13,1.032,0.516,1.044,0.66,2
14,0.0,0.0,0.888,1.104,2
15,0.0,0.0,0.432,0.12,2
16,0.96,0.48,1.032,1.56,3
17,0.0,0.0,0.096,0.6960000000000001,2
18,0.984,0.492,0.5640000000000001,0.804,2
19,0.6,0.3,0.66,1.068,2
20,0.0,0.0,0.792,0.456,2
21,0.504,0.252,0.972,1.044,2
22,0.768,0.384,0.8160000000000001,0.8160000000000001,2
23,0.768,0.384,0.8160000000000001,1.44,3
24,0.936,0.468,0.66,0.516,2
25,0.84,0.42,0.5640000000000001,0.636,2
26,0.336,0.168,1.296,0.552,2
27,0.336,0.168,1.248,0.744,2
28,0.432,0.216,0.504,0.40800000000000003,2
29,0.84,0.42,1.236,1.02,1
30,0.432,0.216,0.28800000000000003,0.84,2
31,0.0,0.0,1.2,0.912,2
32,0.0,0.0,0.744,1.1520000000000001,2
33,0.936,0.468,1.068,1.236,3
34,0.504,0.276,0.804,0.972,2
35,0.984,0.516,0.996,0.756,2
36,1.104,0.588,0.624,0.624,2
37,1.272,0.684,1.284,0.9,1
38,0.48,0.28800000000000003,0.768,0.768,2
39,0.0,0.06,1.1520000000000001,0.648,2
40,1.008,0.5760000000000001,1.608,1.1520000000000001,1
41,0.72,0.444,0.528,0.864,2
42,0.768,0.48,1.416,1.08,1
43,1.248,0.72,0.648,1.32,3
44,0.84,0.516,0.78,1.356,3
45,0.48,0.336,0.984,0.936,2
46,1.224,0.708,0.636,1.308,3
47,0.168,0.18,1.188,0.804,2
48,0.528,0.36,0.6960000000000001,0.552,2
49,0.936,0.5640000000000001,0.756,0.804,2
50,0.504,0.34800000000000003,1.02,1.188,2
51,1.344,0.768,1.32,1.248,1
52,0.504,0.34800000000000003,0.468,0.588,2
53,0.504,0.34800000000000003,0.324,0.996,2
54,0.504,0.34800000000000003,0.588,1.284,2
55,0.504,0.34800000000000003,1.3800000000000001,1.26,1
56,0.504,0.34800000000000003,0.492,1.188,2
57,0.936,0.5640000000000001,1.572,1.524,1
58,0.432,0.312,0.624,0.528,2
59,0.792,0.492,0.396,0.636,2
60,0.336,0.264,1.104,0.28800000000000003,2
61,0.336,0.264,1.248,1.056,2
62,1.416,0.804,1.308,1.4040000000000001,0
63,0.336,0.264,0.624,0.8160000000000001,2
64,0.336,0.264,0.912,0.36,2
65,0.672,0.432,0.5760000000000001,0.36,2
66,0.672,0.432,0.648,1.008,2
67,1.032,0.612,0.636,1.092,3
68,0.672,0.432,0.48,0.504,2
69,0.672,0.432,0.84,1.488,3
70,0.432,0.312,1.3920000000000001,0.216,2
71,1.176,0.684,1.308,1.452,3
72,0.672,0.432,1.008,1.344,3
73,0.672,0.432,0.936,0.432,2
74,0.672,0.432,1.1520000000000001,1.536,3
75,0.672,0.432,1.416,0.96,1
76,0.792,0.492,0.42,1.548,3
77,1.296,0.744,1.6560000000000001,0.864,1
78,1.464,0.8280000000000001,1.452,1.524,0
79,0.768,0.48,0.6960000000000001,1.272,2
80,1.104,0.648,1.1520000000000001,0.72,1
81,0.264,0.228,0.732,0.66,2
82,0.168,0.18,0.924,0.132,2
83,0.432,0.312,0.528,0.72,2
84,1.368,0.78,1.452,1.548,0
85,0.432,0.312,0.672,1.08,2
86,0.264,0.228,0.5640000000000001,0.42,2
87,0.984,0.588,1.62,1.164,1
88,0.264,0.228,0.636,0.732,2
89,1.2,0.6960000000000001,0.8160000000000001,1.032,3
90,0.84,0.516,0.804,0.492,2
91,0.264,0.228,0.468,0.54,2
92,1.1520000000000001,0.672,1.536,1.584,0
93,0.6,0.396,1.3800000000000001,1.356,1
94,0.768,0.48,0.384,1.032,2
95,0.6,0.396,0.468,0.876,2
96,0.6,0.396,1.044,1.116,2
97,0.6,0.396,0.324,0.684,2
98,0.264,0.228,1.188,0.444,2
99,0.6,0.396,1.284,0.804,2
100,1.272,0.732,1.332,1.116,1
101,0.672,0.444,1.2,1.2,1
102,1.176,0.6960000000000001,0.732,0.612,2
103,0.432,0.324,0.792,1.1280000000000001,2
104,0.432,0.324,0.936,1.1280000000000001,2
105,0.336,0.276,0.744,0.864,2
106,0.336,0.276,0.6960000000000001,0.552,2
107,0.336,0.276,0.264,0.192,2
108,0.84,0.54,0.492,0.516,2
109,1.032,0.636,1.164,0.5640000000000001,1
110,0.6960000000000001,0.48,1.356,0.492,1
111,0.6,0.432,0.9480000000000001,0.9,2
112,0.48,0.372,0.336,1.3920000000000001,2
113,0.336,0.312,0.192,1.176,2
114,0.432,0.36,0.528,0.672,2
115,0.336,0.312,1.104,0.984,2
116,0.264,0.276,0.42,0.3,2
117,0.6960000000000001,0.492,1.116,0.612,2
118,0.336,0.312,0.6960000000000001,0.264,2
119,0.672,0.492,0.336,1.3920000000000001,2
120,0.624,0.468,0.336,0.528,2
121,0.336,0.324,0.264,1.08,2
122,0.28800000000000003,0.3,0.96,0.36,2
123,0.432,0.372,0.768,1.1280000000000001,2
124,0.336,0.336,0.5760000000000001,0.984,2
125,0.504,0.42,0.276,0.34800000000000003,2
126,0.888,0.612,1.212,0.996,1
127,0.864,0.6,0.504,0.936,2
128,0.096,0.216,1.08,0.552,2
129,1.056,0.6960000000000001,1.608,1.56,1
130,1.08,0.708,1.524,0.876,1
131,0.168,0.252,1.164,0.924,2
132,0.5760000000000001,0.456,1.3920000000000001,1.3920000000000001,1
133,0.336,0.336,0.72,0.6960000000000001,2
134,0.936,0.648,0.612,1.668,3
135,0.672,0.516,0.624,1.32,2
136,0.6960000000000001,0.528,1.044,0.516,2
137,0.6960000000000001,0.528,1.524,0.852,1
138,0.84,0.6,0.54,0.804,2
139,0.84,0.6,0.924,0.852,2
140,0.84,0.6,0.9,0.588,2
141,0.84,0.6,1.524,0.492,1
142,0.8160000000000001,0.588,0.40800000000000003,0.744,2
143,0.84,0.6,0.876,1.092,2
144,0.84,0.6,0.996,0.732,2
145,0.84,0.6,1.188,1.428,3
146,0.84,0.6,0.78,0.684,2
147,0.84,0.6,1.548,0.492,1
148,1.08,0.72,1.284,1.212,1
149,0.336,0.34800000000000003,0.84,0.792,2
150,1.08,0.72,1.572,1.4040000000000001,1
151,1.224,0.792,1.668,1.716,0
152,0.336,0.34800000000000003,0.936,0.40800000000000003,2
153,0.336,0.34800000000000003,0.864,0.28800000000000003,2
154,1.08,0.72,1.62,1.284,1
155,1.056,0.708,0.744,1.6560000000000001,3
156,1.488,0.924,1.776,0.792,1
157,0.40800000000000003,0.384,1.3800000000000001,1.188,1
158,0.336,0.34800000000000003,0.888,0.216,2
159,1.104,0.732,1.104,1.104,1
160,1.104,0.732,0.5760000000000001,0.672,2
161,0.432,0.396,1.008,0.384,2
162,0.432,0.396,1.344,0.984,2
163,0.432,0.396,1.104,0.6960000000000001,2
164,0.432,0.396,0.792,1.1280000000000001,2
165,0.432,0.396,1.368,0.264,2
166,1.32,0.84,1.284,1.836,0
167,0.888,0.624,0.684,1.02,2
168,0.48,0.42,0.5760000000000001,0.264,2
169,0.792,0.5760000000000001,1.284,0.924,1
170,1.1520000000000001,0.756,1.728,0.84,1
171,1.3920000000000001,0.876,0.96,1.608,3
172,0.336,0.34800000000000003,0.36,0.792,2
173,1.104,0.732,1.296,0.744,1
174,0.504,0.432,0.9,0.492,2
175,0.504,0.432,0.732,0.732,2
176,0.504,0.432,1.284,1.188,1
177,0.504,0.432,1.428,0.972,1
178,0.504,0.432,0.876,0.972,2
179,0.504,0.432,1.284,0.876,2
180,0.504,0.432,0.516,0.42,2
181,0.504,0.432,0.324,1.068,2
182,0.504,0.432,1.428,0.924,1
183,1.464,0.912,1.452,1.332,0
184,0.336,0.34800000000000003,0.528,0.888,2
185,0.528,0.444,0.864,1.032,2
186,0.768,0.5640000000000001,0.984,1.248,3
187,1.008,0.684,1.344,0.888,1
188,1.008,0.684,1.008,0.768,2
189,1.248,0.804,0.672,1.08,3
190,0.768,0.5640000000000001,0.432,0.84,2
191,0.768,0.5640000000000001,0.6,1.584,3
192,0.768,0.5640000000000001,0.6,0.84,2
193,0.768,0.5640000000000001,0.792,0.912,2
194,1.032,0.6960000000000001,1.548,1.1400000000000001,1
195,0.768,0.5640000000000001,1.32,1.536,3
196,0.768,0.5640000000000001,0.528,1.224,2
197,0.768,0.5640000000000001,1.1520000000000001,1.08,1
198,0.768,0.5640000000000001,0.936,0.888,2
199,1.224,0.792,1.068,0.8280000000000001,1
200,1.536,0.9480000000000001,1.344,1.464,0
201,1.32,0.84,0.684,1.548,3
202,1.3920000000000001,0.876,1.464,1.6560000000000001,0
203,0.6,0.48,1.4040000000000001,1.236,1
204,0.6,0.48,0.492,0.9,2
205,0.6,0.48,0.8280000000000001,0.34800000000000003,2
206,0.6,0.48,1.212,0.444,2
207,0.6,0.48,0.54,1.044,2
208,0.6,0.48,1.044,1.284,2
209,1.056,0.708,0.888,1.008,3
210,0.6,0.48,0.54,0.996,2
211,0.6,0.48,1.5,0.492,1
212,0.6,0.48,0.66,0.54,2
213,0.6,0.48,0.588,0.732,2
214,0.6,0.48,1.4040000000000001,1.452,1
215,0.6,0.48,0.516,1.5,3
216,0.6,0.48,0.516,1.044,2
217,0.6,0.48,1.476,0.324,1
218,1.056,0.708,1.344,1.1520000000000001,1
219,1.272,0.8160000000000001,0.876,1.1400000000000001,3
220,0.744,0.552,1.068,0.972,2
221,0.624,0.492,1.1520000000000001,0.648,2
222,1.368,0.864,0.972,1.428,3
223,0.624,0.492,1.344,1.008,1
224,1.272,0.8160000000000001,1.068,1.212,3
225,0.936,0.648,0.9,1.6440000000000001,3
226,0.936,0.648,0.9480000000000001,1.4040000000000001,3
227,0.936,0.648,1.356,0.852,1
228,0.936,0.648,1.308,0.54,1
229,0.936,0.648,0.5640000000000001,1.212,3
230,0.936,0.648,0.78,1.116,3
231,0.936,0.648,0.708,0.5640000000000001,2
232,0.984,0.672,1.356,0.516,1
233,0.84,0.6,0.5640000000000001,0.588,2
234,0.984,0.672,0.876,0.756,2
235,0.648,0.504,0.8280000000000001,1.116,2
236,1.2,0.78,0.84,1.6320000000000001,3
237,0.264,0.312,0.876,1.212,2
238,0.336,0.34800000000000003,0.504,1.344,2
239,1.1280000000000001,0.744,1.548,1.548,0
240,0.96,0.66,0.72,1.488,3
241,0.264,0.312,0.78,0.852,2
242,0.672,0.516,0.96,1.488,3
243,0.672,0.516,0.792,1.32,3
244,0.264,0.312,0.66,0.9,2
245,0.672,0.516,0.96,1.2,2
246,0.96,0.66,0.768,1.6320000000000001,3
247,0.96,0.66,0.792,1.368,3
248,0.672,0.516,0.96,0.888,2
249,0.672,0.516,1.488,1.104,1
250,0.672,0.516,1.272,0.864,1
251,0.504,0.444,0.924,0.34800000000000003,2
252,0.336,0.36,0.84,1.2,2
253,0.456,0.42,0.42,0.42,2
254,1.176,0.78,0.78,1.452,3
255,0.84,0.612,1.3800000000000001,0.852,1
256,0.432,0.40800000000000003,0.6960000000000001,0.48,2
257,0.8160000000000001,0.6,1.416,1.1520000000000001,1
258,0.6,0.492,1.428,0.42,1
259,0.672,0.54,0.984,0.384,2
260,0.264,0.336,0.804,1.308,2
261,0.264,0.336,0.852,1.26,2
262,0.936,0.684,1.62,0.876,1
263,0.432,0.432,0.624,0.72,2
264,0.768,0.6,0.624,1.272,3
265,0.744,0.588,0.852,0.9480000000000001,2
266,0.672,0.552,1.176,1.3920000000000001,3
267,0.432,0.432,1.008,1.032,2
268,0.336,0.384,0.264,0.936,2
269,1.296,0.864,1.608,1.2,1
270,0.456,0.444,0.804,1.428,2
